objectid, id, Name, Status, BldSz_Orig, BldSz_Curr, Has_Cave, CaveSize, Prod_Orig, Prod_Curr, Tour_Tastg, Visit_Day, Visit_Week, Visit_Yr, Visit_Mktg, Visit_NmEv, Visit_ALL, EmplyeeNum, ParkingNum, WDO, Last_UP, In_CityBdy, In_AIASP, Notes, SmlWnryExm, Apprv_date, Estab_date, Total_Size, Subj_to_75, GPY_at_75, AVA, SUP_dist
1, 2, AETNA SPRING CELLARS, PROD, 2500, 2500, null, 0, 2000, 20000, TST APPT, 0, 3, 156, 0, 0, 156, 1, 10, x, null, null, null, null, x, 04/01/1986, 06/01/1986, 2500, null, 0, Napa Valley, 3
2, 164, POPE VALLEY WINERY, PROD, 4836, 4836, null, 0, 5000, 20000, PUB, 0, 20, 1040, 0, 0, 1040, 4, 0, x, U-777172, null, null, null, null, 07/17/1972, 12/01/1972, 4836, null, 0, Napa Valley, 3
3, 128, CANDLESTICK RIDGE VINEYARD, UNKNWN, 3356, 3018, null, 0, 20000, 20000, NO, 0, 0, 0, 0, 0, 0, 2, 6, x, null, null, null, null, null, 07/06/1988, 09/01/1988, 3018, x, 20000, Howell Mountain, 3
4, 6, WHISKEY RIVER RANCH VINEYARDS, PROD, 12537, 12537, x, 18000, 180000, 360000, APPT, 12, 50, 2600, 275, 21, 2875, 9, 28, null, P11-00463, null, null, null, null, 10/18/1995, 09/01/1996, 30537, x, 360000, Napa Valley, 3
5, 20, SEARS WINERY, PROD, 4400, 4765, x, 3600, 750, 20000, TST APPT, 0, 2, 104, 0, 0, 104, 2, 6, x, 01181-MOD, null, null, null, null, 06/10/1988, 09/01/1996, 8365, x, 11000, Howell Mountain, 3
6, 38, CHATEAU MONTELENA WINERY, PROD, 14000, 18162, x, 25900, 125000, 128000, PUB, 0, 0, 0, 0, 0, 0, 20, 40, x, P10-00143-MOD, null, null, null, null, 09/01/1882, 09/01/1886, 44062, null, 0, Calistoga, 3
7, 231, STORYBOOK MOUNTAIN VINEYARD, PROD, 3440, 2975, x, 5400, 3, 15000, APPT, 0, 0, 0, 240, 6, 240, 1, 4, x, P06-01067UP, null, null, null, null, 09/05/1979, 09/18/1983, 8375, null, 0, Calistoga, 3
8, 179, ATALON WINERY, PROD, 1800, 12100, null, 0, 1500, 60000, APPT, 10, 20, 1040, 0, 0, 1040, 4, 6, x, 96556-MOD, null, null, null, null, 05/01/1978, 12/01/1978, 12100, null, 0, Calistoga, 3
9, 108, HELENA VIEW - JOHNSTON VINEYARDS, PROD, 1200, 1200, null, 0, 2000, 20000, TST APPT, 10, 50, 2600, 0, 0, 2600, 0, 4, x, null, null, null, null, x, 07/01/1987, 09/01/1989, 1200, null, 0, Calistoga, 3
10, 258, BENNETT LANE WINERY, PROD, 6556, 17550, null, 0, 20000, 50000, APPT, 32, 200, 10400, 2495, 55, 12895, 3, 22, null, 02638-MOD, null, null, null, null, 12/11/1991, 09/01/1996, 17550, x, 50000, Calistoga, 3
